subtype,species_latin_name,species_common_name,species_description,SD_prompt
Arecales,Elaeis guineensis,African Oil Palm," Large feather-like leaves, clusters of small, white flowers, and small, round, reddish fruits.","A photograph of a African Oil Palm (Elaeis guineensis): Large feather-like leaves, clusters of small, white flowers, and small, round, reddish fruits."
Arecales,Areca catechu,Betel Nut Palm," Slender, ringed trunk, feather-like leaves, and small, round, orange fruits.","A photograph of a Betel Nut Palm (Areca catechu): Slender, ringed trunk, feather-like leaves, and small, round, orange fruits."
Arecales,Phoenix canariensis,Canary Island Date Palm," Large, feather-like leaves, clustering yellow flowers, and small, round, orange fruits.","A photograph of a Canary Island Date Palm (Phoenix canariensis): Large, feather-like leaves, clustering yellow flowers, and small, round, orange fruits."
Arecales,Syagrus romanzoffiana,Queen Palm," Tall, slender trunk, large, feather-like leaves, and small, round, yellow fruits.","A photograph of a Queen Palm (Syagrus romanzoffiana): Tall, slender trunk, large, feather-like leaves, and small, round, yellow fruits."
Arecales,Serenoa repens,Saw Palmetto," Low-growing with fan-shaped leaves, white flowers, and small, round, black fruits.","A photograph of a Saw Palmetto (Serenoa repens): Low-growing with fan-shaped leaves, white flowers, and small, round, black fruits."
Arecales,Cycas revoluta,Sago Palm," Short, thick trunk, feather-like leaves, and large, round, orange fruits.","A photograph of a Sago Palm (Cycas revoluta): Short, thick trunk, feather-like leaves, and large, round, orange fruits."
Arecales,Livistona chinensis,Chinese Fan Palm," Tall, slender trunk, large, fan-shaped leaves, and small, round, black fruits.","A photograph of a Chinese Fan Palm (Livistona chinensis): Tall, slender trunk, large, fan-shaped leaves, and small, round, black fruits."
Arecales,Bismarckia nobilis,Bismarck Palm," Tall, thick trunk, large, fan-shaped, silver-blue leaves, and small, round, brown fruits.","A photograph of a Bismarck Palm (Bismarckia nobilis): Tall, thick trunk, large, fan-shaped, silver-blue leaves, and small, round, brown fruits."
Arecales,Dypsis decaryi,Triangle Palm," Triangular trunk, feather-like leaves, and small, round, yellow fruits.","A photograph of a Triangle Palm (Dypsis decaryi): Triangular trunk, feather-like leaves, and small, round, yellow fruits."
Arecales,Archontophoenix cunninghamiana,King Palm," Tall, slender trunk, large, feather-like leaves, and small, round, red fruits.","A photograph of a King Palm (Archontophoenix cunninghamiana): Tall, slender trunk, large, feather-like leaves, and small, round, red fruits."
Arecales,Hyophorbe lagenicaulis,Bottle Palm," Short, swollen trunk, feather-like leaves, and small, round, black fruits.","A photograph of a Bottle Palm (Hyophorbe lagenicaulis): Short, swollen trunk, feather-like leaves, and small, round, black fruits."
Arecales,Hyophorbe verschaffeltii,Spindle Palm," Tall, slender trunk that bulges in the middle, feather-like leaves, and small, round, black fruits.","A photograph of a Spindle Palm (Hyophorbe verschaffeltii): Tall, slender trunk that bulges in the middle, feather-like leaves, and small, round, black fruits."
Arecales,Wodyetia bifurcata,Foxtail Palm," Tall, slender trunk, large, feather-like leaves that resemble a fox's tail, and large, round, red fruits.","A photograph of a Foxtail Palm (Wodyetia bifurcata): Tall, slender trunk, large, feather-like leaves that resemble a fox's tail, and large, round, red fruits."
Arecales,Roystonea regia,Royal Palm," Tall, smooth trunk, large, feather-like leaves, and small, round, purple fruits.","A photograph of a Royal Palm (Roystonea regia): Tall, smooth trunk, large, feather-like leaves, and small, round, purple fruits."
Arecales,Butia capitata,Pindo Palm," Short, thick trunk, large, feather-like leaves, and large, round, yellow fruits.","A photograph of a Pindo Palm (Butia capitata): Short, thick trunk, large, feather-like leaves, and large, round, yellow fruits."
Arecales,Trachycarpus fortunei,Windmill Palm," Tall, slender trunk, large, fan-shaped leaves, and small, round, black fruits.","A photograph of a Windmill Palm (Trachycarpus fortunei): Tall, slender trunk, large, fan-shaped leaves, and small, round, black fruits."
Arecales,Washingtonia robusta,Mexican Fan Palm," Tall, slender trunk, large, fan-shaped leaves, and small, round, black fruits.","A photograph of a Mexican Fan Palm (Washingtonia robusta): Tall, slender trunk, large, fan-shaped leaves, and small, round, black fruits."
Arecales,Washingtonia filifera,California Fan Palm," Tall, thick trunk, large, fan-shaped leaves, and large, round, black fruits.","A photograph of a California Fan Palm (Washingtonia filifera): Tall, thick trunk, large, fan-shaped leaves, and large, round, black fruits."
Asparagales,Hyacinthoides non-scripta,Bluebell," Deep blue, bell-shaped flowers with a sweet scent, hanging from a drooping stem.","A photograph of a Bluebell (Hyacinthoides non-scripta): Deep blue, bell-shaped flowers with a sweet scent, hanging from a drooping stem."
Asparagales,Asparagus officinalis,White Asparagus," Long, slender, white stalks with a feathery foliage at the top.","A photograph of a White Asparagus (Asparagus officinalis): Long, slender, white stalks with a feathery foliage at the top."
Asparagales,Iris pseudacorus,Yellow Iris," Bright yellow flowers with long, narrow, sword-like leaves.","A photograph of a Yellow Iris (Iris pseudacorus): Bright yellow flowers with long, narrow, sword-like leaves."
Asparagales,Hyacinthoides hispanica,Spanish Bluebell, Pale blue flowers with a more erect stem compared to the common bluebell.,A photograph of a Spanish Bluebell (Hyacinthoides hispanica): Pale blue flowers with a more erect stem compared to the common bluebell.
Asparagales,Galanthus nivalis,Snowdrop," Small, white, bell-shaped flowers that hang from a single stem.","A photograph of a Snowdrop (Galanthus nivalis): Small, white, bell-shaped flowers that hang from a single stem."
Asparagales,Narcissus pseudonarcissus,Daffodil, Bright yellow flowers with a trumpet-shaped corona in the center.,A photograph of a Daffodil (Narcissus pseudonarcissus): Bright yellow flowers with a trumpet-shaped corona in the center.
Asparagales,Allium ursinum,Wild Garlic," White, star-shaped flowers with a strong garlic scent.","A photograph of a Wild Garlic (Allium ursinum): White, star-shaped flowers with a strong garlic scent."
Asparagales,Allium cepa,Onion," Round, bulbous root with a papery skin, green shoots when growing.","A photograph of a Onion (Allium cepa): Round, bulbous root with a papery skin, green shoots when growing."
Asparagales,Agave americana,Agave," Large, succulent plant with rosette of thick, fleshy leaves.","A photograph of a Agave (Agave americana): Large, succulent plant with rosette of thick, fleshy leaves."
Asparagales,Aloe vera,Aloe Vera," Succulent plant with long, pointed, fleshy leaves.","A photograph of a Aloe Vera (Aloe vera): Succulent plant with long, pointed, fleshy leaves."
Asparagales,Tulipa gesneriana,Tulip," Brightly colored, cup-shaped flowers on a single stem.","A photograph of a Tulip (Tulipa gesneriana): Brightly colored, cup-shaped flowers on a single stem."
Asparagales,Hyacinthus orientalis,Hyacinth," Dense spike of fragrant flowers, in shades of pink, red, white or blue.","A photograph of a Hyacinth (Hyacinthus orientalis): Dense spike of fragrant flowers, in shades of pink, red, white or blue."
Asparagales,Crocus sativus,Crocus," Purple, cup-shaped flowers with bright orange stigmas.","A photograph of a Crocus (Crocus sativus): Purple, cup-shaped flowers with bright orange stigmas."
Asparagales,Convallaria majalis,Lily of the Valley," Small, bell-shaped, white flowers hanging from a single stem.","A photograph of a Lily of the Valley (Convallaria majalis): Small, bell-shaped, white flowers hanging from a single stem."
Asparagales,Orchis mascula,Orchid, Pinkish-purple flowers with a distinct three-lobed lip.,A photograph of a Orchid (Orchis mascula): Pinkish-purple flowers with a distinct three-lobed lip.
Asparagales,Freesia refracta,Freesia," Funnel-shaped, fragrant flowers in a variety of colors.","A photograph of a Freesia (Freesia refracta): Funnel-shaped, fragrant flowers in a variety of colors."
Asparagales,Gladiolus communis,Gladiolus," Tall flower spikes with large, colorful flowers.","A photograph of a Gladiolus (Gladiolus communis): Tall flower spikes with large, colorful flowers."
Asparagales,Strelitzia reginae,Bird of Paradise," Large, exotic flowers with bright orange and blue petals.","A photograph of a Bird of Paradise (Strelitzia reginae): Large, exotic flowers with bright orange and blue petals."
Asparagales,Musa paradisiaca,Banana," Large, elongated leaves with a large, elongated fruit.","A photograph of a Banana (Musa paradisiaca): Large, elongated leaves with a large, elongated fruit."
Asparagales,Ananas comosus,Pineapple," Rosette of stiff leaves with a large, spiky fruit.","A photograph of a Pineapple (Ananas comosus): Rosette of stiff leaves with a large, spiky fruit."
Asterales,Helianthus annuus,Common Sunflower," Large, yellow petals surrounding a brown or black center disk.","A photograph of a Common Sunflower (Helianthus annuus): Large, yellow petals surrounding a brown or black center disk."
Asterales,Echinacea purpurea,Purple Coneflower," Pink-purple petals with a spiky, orange-brown central cone.","A photograph of a Purple Coneflower (Echinacea purpurea): Pink-purple petals with a spiky, orange-brown central cone."
Asterales,Leucanthemum vulgare,Oxeye Daisy, White petals with a yellow disk in the center.,A photograph of a Oxeye Daisy (Leucanthemum vulgare): White petals with a yellow disk in the center.
Asterales,Echinops ritro,Globe Thistle," Spherical, blue-violet flower heads with spiny foliage.","A photograph of a Globe Thistle (Echinops ritro): Spherical, blue-violet flower heads with spiny foliage."
Asterales,Solidago canadensis,Goldenrod," Clusters of small, bright yellow flowers on a tall stem.","A photograph of a Goldenrod (Solidago canadensis): Clusters of small, bright yellow flowers on a tall stem."
Asterales,Rudbeckia hirta,Black-eyed Susan, Yellow petals with a dark brown center.,A photograph of a Black-eyed Susan (Rudbeckia hirta): Yellow petals with a dark brown center.
Asterales,Zinnia elegans,Zinnia," Brightly colored flowers with layered petals, can be pink, red, orange, or yellow.","A photograph of a Zinnia (Zinnia elegans): Brightly colored flowers with layered petals, can be pink, red, orange, or yellow."
Asterales,Dahlia pinnata,Dahlia," Large, intricate flowers with many petals, can be various colors.","A photograph of a Dahlia (Dahlia pinnata): Large, intricate flowers with many petals, can be various colors."
Asterales,Tanacetum vulgare,Tansy," Clusters of small, yellow, button-like flowers.","A photograph of a Tansy (Tanacetum vulgare): Clusters of small, yellow, button-like flowers."
Asterales,Achillea millefolium,Yarrow," Clusters of small, white or pink flowers on a tall stem.","A photograph of a Yarrow (Achillea millefolium): Clusters of small, white or pink flowers on a tall stem."
Asterales,Helenium autumnale,Sneezeweed," Yellow petals with a raised, brown center disk.","A photograph of a Sneezeweed (Helenium autumnale): Yellow petals with a raised, brown center disk."
Asterales,Cosmos bipinnatus,Cosmos, Pink or white petals with a yellow center.,A photograph of a Cosmos (Cosmos bipinnatus): Pink or white petals with a yellow center.
Asterales,Gaillardia pulchella,Blanket Flower," Red petals tipped with yellow, with a red and yellow center.","A photograph of a Blanket Flower (Gaillardia pulchella): Red petals tipped with yellow, with a red and yellow center."
Asterales,Tithonia rotundifolia,Mexican Sunflower, Bright orange petals with a yellow center.,A photograph of a Mexican Sunflower (Tithonia rotundifolia): Bright orange petals with a yellow center.
Asterales,Rudbeckia laciniata,Coneflower," Yellow petals drooping from a green, conical center.","A photograph of a Coneflower (Rudbeckia laciniata): Yellow petals drooping from a green, conical center."
Asterales,Conoclinium coelestinum,Blue Mistflower," Clusters of small, fluffy, blue-violet flowers.","A photograph of a Blue Mistflower (Conoclinium coelestinum): Clusters of small, fluffy, blue-violet flowers."
Asterales,Vernonia noveboracensis,Ironweed," Clusters of small, purple flowers on a tall stem.","A photograph of a Ironweed (Vernonia noveboracensis): Clusters of small, purple flowers on a tall stem."
Asterales,Eutrochium purpureum,Joe-Pye Weed," Clusters of small, pink-purple flowers on a tall stem.","A photograph of a Joe-Pye Weed (Eutrochium purpureum): Clusters of small, pink-purple flowers on a tall stem."
Asterales,Symphyotrichum novi-belgii,New York Aster," Small, purple flowers with a yellow center.","A photograph of a New York Aster (Symphyotrichum novi-belgii): Small, purple flowers with a yellow center."
Berberidopsidales,Berberidopsis corallina,Chilean Coral Plant," A climbing evergreen shrub with leathery leaves and clusters of bell-shaped, bright red flowers.","A photograph of a Chilean Coral Plant (Berberidopsis corallina): A climbing evergreen shrub with leathery leaves and clusters of bell-shaped, bright red flowers."
Berberidopsidales,Berberidopsis beckleri,Mountain Coral Plant," A climbing plant with glossy green leaves, red stems, and clusters of small, white flowers.","A photograph of a Mountain Coral Plant (Berberidopsis beckleri): A climbing plant with glossy green leaves, red stems, and clusters of small, white flowers."
Boraginales,Myosotis sylvatica,Forget-Me-Not," Small, blue, five-petaled flowers with yellow centers. Green, hairy leaves.","A photograph of a Forget-Me-Not (Myosotis sylvatica): Small, blue, five-petaled flowers with yellow centers. Green, hairy leaves."
Boraginales,Echium vulgare,Viper's Bugloss," Tall spikes of vibrant blue, funnel-shaped flowers. Hairy, lance-shaped leaves.","A photograph of a Viper's Bugloss (Echium vulgare): Tall spikes of vibrant blue, funnel-shaped flowers. Hairy, lance-shaped leaves."
Boraginales,Anchusa azurea,Alkanet," Large, deep blue or purple flowers. Rough, hairy leaves.","A photograph of a Alkanet (Anchusa azurea): Large, deep blue or purple flowers. Rough, hairy leaves."
Boraginales,Borago officinalis,Borage," Star-shaped, bright blue flowers. Fuzzy, oval leaves.","A photograph of a Borage (Borago officinalis): Star-shaped, bright blue flowers. Fuzzy, oval leaves."
Boraginales,Pulmonaria officinalis,Lungwort, Pink to blue flowers. Green leaves with white spots.,A photograph of a Lungwort (Pulmonaria officinalis): Pink to blue flowers. Green leaves with white spots.
Boraginales,Symphytum officinale,Comfrey," Bell-shaped, purple to pink flowers. Large, hairy leaves.","A photograph of a Comfrey (Symphytum officinale): Bell-shaped, purple to pink flowers. Large, hairy leaves."
Boraginales,Heliotropium arborescens,Heliotrope," Clusters of tiny, purple flowers. Broad, green leaves.","A photograph of a Heliotrope (Heliotropium arborescens): Clusters of tiny, purple flowers. Broad, green leaves."
Boraginales,Echium plantagineum,Paterson's Curse," Purple, funnel-shaped flowers. Hairy, lance-shaped leaves.","A photograph of a Paterson's Curse (Echium plantagineum): Purple, funnel-shaped flowers. Hairy, lance-shaped leaves."
Boraginales,Amsinckia menziesii,Fiddleneck," Orange, tubular flowers. Hairy, lance-shaped leaves.","A photograph of a Fiddleneck (Amsinckia menziesii): Orange, tubular flowers. Hairy, lance-shaped leaves."
Boraginales,Cynoglossum officinale,Hound's Tongue," Reddish-purple flowers. Broad, hairy leaves.","A photograph of a Hound's Tongue (Cynoglossum officinale): Reddish-purple flowers. Broad, hairy leaves."
Boraginales,Omphalodes cappadocica,Navelwort," Small, blue flowers. Heart-shaped, green leaves.","A photograph of a Navelwort (Omphalodes cappadocica): Small, blue flowers. Heart-shaped, green leaves."
Boraginales,Pentaglottis sempervirens,Green Alkanet," Bright blue flowers. Rough, hairy leaves.","A photograph of a Green Alkanet (Pentaglottis sempervirens): Bright blue flowers. Rough, hairy leaves."
Boraginales,Lithospermum officinale,Gromwell," Yellow, tubular flowers. Narrow, green leaves.","A photograph of a Gromwell (Lithospermum officinale): Yellow, tubular flowers. Narrow, green leaves."
Boraginales,Echium vulgare,Blueweed," Spikes of blue, funnel-shaped flowers. Hairy, lance-shaped leaves.","A photograph of a Blueweed (Echium vulgare): Spikes of blue, funnel-shaped flowers. Hairy, lance-shaped leaves."
Boraginales,Brunnera macrophylla,Siberian Bugloss," Clusters of tiny, blue flowers. Heart-shaped, green leaves.","A photograph of a Siberian Bugloss (Brunnera macrophylla): Clusters of tiny, blue flowers. Heart-shaped, green leaves."
Boraginales,Myosotis alpestris,Chalkhill Forget-Me-Not," Small, blue flowers with yellow centers. Green, hairy leaves.","A photograph of a Chalkhill Forget-Me-Not (Myosotis alpestris): Small, blue flowers with yellow centers. Green, hairy leaves."
Boraginales,Hydrophyllum virginianum,Waterleaf," Clusters of small, white flowers. Large, lobed leaves.","A photograph of a Waterleaf (Hydrophyllum virginianum): Clusters of small, white flowers. Large, lobed leaves."
Boraginales,Phacelia tanacetifolia,Phacelia," Purple, bell-shaped flowers. Green, fern-like leaves.","A photograph of a Phacelia (Phacelia tanacetifolia): Purple, bell-shaped flowers. Green, fern-like leaves."
Boraginales,Alyssoides utriculata,Madwort," Yellow, four-petaled flowers. Grey-green, hairy leaves.","A photograph of a Madwort (Alyssoides utriculata): Yellow, four-petaled flowers. Grey-green, hairy leaves."
